Time,UAV_X,UAV_Y,UAV_Z,UAV_quat_0,UAV_quat_1,UAV_quat_2,UAV_quat_3,UAV_v_bx,UAV_v_by,UAV_v_bz,UAV_w_bx,UAV_w_by,UAV_w_bz,Payload_X,Payload_Y,Payload_Z,Swing_Deg_X,Swing_Deg_Y,SwingVel_DegS_X,SwingVel_DegS_Y,Policy_a0,Policy_a1,Policy_a2,Policy_a3,Env_raw_a0,Env_raw_a1,Env_raw_a2,Env_raw_a3,Env_clamp_a0,Env_clamp_a1,Env_clamp_a2,Env_clamp_a3,Thrust_Cmd,Moment_Cmd_X,Moment_Cmd_Y,Moment_Cmd_Z
0.6166666666666667,21.221233,-14.091133,1.8689566,0.6806332,-0.045216493,-0.031505927,0.73054856,-0.27794677,0.41587326,3.1134326,-1.0346311,0.6175385,2.3508584,21.338327,-14.058085,1.0782627,-8.416479,-2.3675392,10.723914,3.5069559,-296.6856,38.303547,-25.262423,-2964.8333,-296.6856,38.303547,-25.262423,-2964.8333,-1.0,1.0,-1.0,-1.0,0.0,0.4,-0.4,-0.4
0.6333333333333333,21.209038,-14.095452,1.9178532,0.6670117,-0.05960888,-0.033390284,0.7419079,-0.3091883,0.37579632,2.9555423,-1.483259,1.1209782,2.102832,21.32365,-14.0632105,1.1267629,-8.236864,-2.309776,10.7769,3.4657857,-341.80426,-278.6393,11.156868,-3889.456,-341.80426,-278.6393,11.156868,-3889.456,-1.0,-1.0,1.0,-1.0,0.0,-0.4,0.4,-0.4
0.65,21.196838,-14.099762,1.9640231,0.65461695,-0.07092356,-0.036043435,0.7517628,-0.32041806,0.35203648,2.7973785,-1.0930483,0.5270538,1.8563919,21.308977,-14.068332,1.1725453,-8.057882,-2.251605,10.738906,3.4902618,-504.02768,2.0465753,-529.32416,-2069.7944,-504.02768,2.0465753,-529.32416,-2069.7944,-1.0,1.0,-1.0,-1.0,0.0,0.4,-0.4,-0.4
0.6666666666666666,21.184637,-14.104053,2.007464,0.64321274,-0.07970594,-0.043483235,0.76028514,-0.30371732,0.3215006,2.6435068,-1.5306158,-0.060204387,1.6107974,21.294292,-14.073446,1.215606,-7.87829,-2.1925478,10.775527,3.543434,-590.623,-74.98066,-562.83185,-2777.3945,-590.623,-74.98066,-562.83185,-2777.3945,-1.0,-1.0,-1.0,-1.0,0.0,-0.4,-0.4,-0.4
0.6833333333333333,21.172428,-14.10833,2.0481744,0.63309205,-0.08354789,-0.052863758,0.7677367,-0.26359898,0.30632293,2.4914951,-1.1038777,-0.6425076,1.3677619,21.279608,-14.078559,1.255946,-7.6993284,-2.1326725,10.737704,3.5925148,-608.44434,132.31192,-361.74704,-5498.2144,-608.44434,132.31192,-361.74704,-5498.2144,-1.0,1.0,-1.0,-1.0,0.0,0.4,-0.4,-0.4
0.7,21.1602,-14.112593,2.086155,0.6244241,-0.081318624,-0.06262347,0.7743127,-0.20462221,0.31208295,2.3393328,-0.6661135,-1.209239,1.125978,21.264921,-14.083667,1.2935661,-7.521681,-2.0721164,10.6588545,3.6333702,-670.48444,208.57011,-300.08105,-5584.6387,-670.48444,208.57011,-300.08105,-5584.6387,-1.0,1.0,-1.0,-1.0,0.0,0.4,-0.4,-0.4
0.7166666666666667,21.147963,-14.116844,2.1214044,0.6171784,-0.073046185,-0.07257485,0.7800564,-0.1314261,0.33588606,2.1855018,-0.2219441,-1.7639698,0.88482285,21.250242,-14.088773,1.3284662,-7.345346,-2.010879,10.5800905,3.6742399,-737.80963,313.61578,-189.21405,-5312.11,-737.80963,313.61578,-189.21405,-5312.11,-1.0,1.0,-1.0,-1.0,0.0,0.4,-0.4,-0.4
0.7333333333333333,21.135702,-14.121082,2.1539247,0.6112519,-0.058751497,-0.08257149,0.7849211,-0.048778176,0.37485433,2.027898,0.22434878,-2.310424,0.6431241,21.235554,-14.093869,1.3606473,-7.170044,-1.9493706,10.518121,3.6905048,-731.40985,404.45627,-57.039223,-4692.8896,-731.40985,404.45627,-57.039223,-4692.8896,-1.0,1.0,-1.0,-1.0,0.0,0.4,-0.4,-0.4
0.75,21.123434,-14.125332,2.1837213,0.607127,-0.04382731,-0.08830257,0.7884659,0.010985792,0.42623523,1.8648561,0.6725657,-1.754036,0.3990171,21.220865,-14.098954,1.3901147,-6.9953613,-1.8895047,10.480956,3.5919569,-678.95135,491.09662,229.85876,-3826.0544,-678.95135,491.09662,229.85876,-3826.0544,-1.0,1.0,1.0,-1.0,0.0,0.4,0.4,-0.4
0.7666666666666666,21.111158,-14.129599,2.2107966,0.6026321,-0.030413615,-0.0882561,0.7925405,0.046224415,0.4864292,1.6964353,1.112927,-1.1953992,0.6406268,21.206161,-14.104026,1.4168693,-6.820193,-1.8318273,10.51011,3.460643,-705.0068,456.91052,25.726507,424.11935,-705.0068,456.91052,25.726507,424.11935,-1.0,1.0,1.0,1.0,0.0,0.4,0.4,0.4
0.7833333333333333,21.098886,-14.133858,2.2351463,0.596165,-0.016409298,-0.09077422,0.79754496,0.085553885,0.5341878,1.5268927,0.7011485,-1.7362354,0.88283116,21.191442,-14.1090975,1.4409041,-6.6437135,-1.7736052,10.588759,3.493323,-768.4721,-75.25787,-281.8717,529.4661,-768.4721,-75.25787,-281.8717,529.4661,-1.0,-1.0,-1.0,1.0,0.0,-0.4,-0.4,0.4
0.8,21.086607,-14.138124,2.256773,0.5906024,-0.0030600054,-0.090289675,0.8018897,0.10766244,0.5843897,1.3546536,1.1502076,-1.1721203,0.63769287,21.176714,-14.114164,1.462225,-6.46716,-1.7162734,10.593194,3.4399078,-768.99866,424.01877,77.27637,-2865.0508,-768.99866,424.01877,77.27637,-2865.0508,-1.0,1.0,1.0,-1.0,0.0,0.4,0.4,-0.4
0.8166666666666667,21.074337,-14.142386,2.2756743,0.58390164,0.010998118,-0.09240979,0.8064728,0.13145071,0.62300503,1.1820407,0.7379111,-1.7126118,0.87977433,21.16197,-14.119226,1.4808264,-6.2888813,-1.6589433,10.696734,3.4398077,-660.084,-91.23166,-133.15395,448.26465,-660.084,-91.23166,-133.15395,448.26465,-1.0,-1.0,-1.0,1.0,0.0,-0.4,-0.4,0.4
0.8333333333333334,21.062057,-14.146656,2.291852,0.57806957,0.024344822,-0.09151025,0.81047446,0.13936669,0.6628313,1.0073273,1.1868203,-1.1479359,0.6345307,21.147219,-14.124285,1.4967126,-6.110801,-1.6024346,10.684804,3.3905194,-648.73157,541.9474,450.93484,-2908.1675,-648.73157,541.9474,450.93484,-2908.1675,-1.0,1.0,1.0,-1.0,0.0,0.4,0.4,-0.4
0.85,21.049784,-14.15094,2.3053071,0.57179475,0.032885805,-0.08925151,0.814864,0.13424867,0.69234073,0.8353456,0.77758396,-0.5904211,0.8757563,21.132446,-14.129338,1.5098828,-5.930857,-1.5472943,10.796641,3.3084223,-445.47754,-130.77966,217.55968,352.14014,-445.47754,-130.77966,217.55968,352.14014,-1.0,-1.0,1.0,1.0,0.0,-0.4,0.4,0.4
0.8666666666666667,21.037508,-14.15522,2.316037,0.5635162,0.044055164,-0.086765975,0.8203537,0.1331917,0.72067344,0.6595513,1.2100656,-1.1211305,1.1188409,21.117672,-14.134396,1.5203358,-5.7509723,-1.4916086,10.793094,3.3411381,-526.7645,195.12209,-293.2668,285.3353,-526.7645,195.12209,-293.2668,285.3353,-1.0,1.0,-1.0,1.0,0.0,0.4,-0.4,0.4
0.8833333333333333,21.025246,-14.159506,2.3240423,0.55625445,0.052398525,-0.08417679,0.8250755,0.121695995,0.7409922,0.48685148,0.80573404,-0.55655485,0.8732421,21.102896,-14.139455,1.5280721,-5.5700464,-1.4361976,10.85555,3.3246586,-489.0702,-359.08023,234.82301,-1774.9015,-489.0702,-359.08023,234.82301,-1774.9015,-1.0,-1.0,1.0,-1.0,0.0,-0.4,0.4,-0.4
0.9,21.012985,-14.163782,2.329322,0.5480744,0.06055556,-0.08571338,0.82981956,0.11149305,0.75425947,0.31846076,0.38818085,-1.0983366,1.1167021,21.088104,-14.144511,1.53309,-5.387941,-1.3803098,10.9263315,3.3532689,-159.84094,-107.31796,-161.60023,215.04842,-159.84094,-107.31796,-161.60023,215.04842,-1.0,-1.0,-1.0,1.0,0.0,-0.4,-0.4,0.4
0.9166666666666666,21.000725,-14.168068,2.3318772,0.5407408,0.06785847,-0.08427666,0.83420134,0.09247613,0.7680135,0.14866361,0.8331256,-0.5363085,0.87217706,21.073317,-14.149568,1.5353923,-5.2061644,-1.3251065,10.90659,3.3121989,-66.70681,576.39746,530.45197,-3653.9104,-66.70681,576.39746,530.45197,-3653.9104,-1.0,1.0,1.0,-1.0,0.0,0.4,0.4,-0.4
